plug.ID,genotype,acclimation,date.of.mortality,date.sampled.or.planted,bite.presence,survival,censored
3AZ1,AZ,3,1/30/20,12/12/19,a,0,1
3AZ4,AZ,3,1/30/20,12/12/19,a,0,1
3AZ3,AZ,3,1/30/20,12/12/19,a,0,1
0AZ10,AZ,3,3/10/20,12/12/19,a,1,0
1AZ5,AZ,3,1/30/20,12/12/19,b,0,1
2AZ21,AZ,4,12/13/19,12/12/19,b,0,1
2AZ1,AZ,4,12/13/19,12/12/19,a,0,1
2AZ2,AZ,4,1/30/20,12/12/19,b,0,1
2AZ3,AZ,4,1/30/20,12/12/19,b,0,1
2AZ7,AZ,4,1/30/20,12/12/19,a,0,1
9AZ2,AZ,5,1/30/20,12/12/19,a,0,1
9AZ5,AZ,5,1/30/20,12/12/19,a,0,1
9AZ9,AZ,5,1/30/20,12/12/19,a,0,1
9AZ81,AZ,5,1/30/20,12/12/19,b,0,1
9AZ4,AZ,5,1/30/20,12/12/19,b,0,1
9AZ8,AZ,5,3/10/20,12/6/19,b,1,0
9AZ10,AZ,5,3/10/20,12/6/19,b,1,0
6BY17,BY,1,1/30/20,12/11/19,b,0,1
6BY18,BY,1,1/30/20,12/11/19,b,0,1
6BY20,BY,1,1/30/20,12/11/19,a,0,1
8BY21,BY,1,1/30/20,12/11/19,a,0,1
8BY24,BY,1,3/10/20,12/11/19,a,1,0
8BY25,BY,1,1/30/20,12/11/19,a,0,1
2BY7,BY,2,1/30/20,12/11/19,a,0,1
2BY8,BY,2,1/30/20,12/11/19,b,0,1
2BY10,BY,2,3/10/20,12/11/19,a,1,0
4BY14,BY,2,1/30/20,12/11/19,a,0,1
4BY15,BY,2,1/30/20,12/11/19,b,0,1
0BY48,BY,3,1/30/20,12/11/19,b,0,1
0BY47,BY,3,3/10/20,12/11/19,b,1,0
0BY2,BY,3,3/10/20,12/11/19,a,1,0
0BY4,BY,3,1/30/20,12/11/19,a,0,1
1BY38,BY,3,1/30/20,12/11/19,a,0,1
BY27,BY,3,1/30/20,12/11/19,a,0,1
2BY22,BY,4,1/30/20,12/11/19,b,0,1
2BY1,BY,4,1/30/20,12/11/19,b,0,1
2BY11,BY,4,3/10/20,12/11/19,a,1,0
2BY4,BY,4,1/30/20,12/11/19,b,0,1
2BY13,BY,4,1/30/20,12/11/19,a,0,1
9BY38,BY,5,1/30/20,12/11/19,a,0,1
9BY33,BY,5,1/30/20,12/11/19,b,0,1
9BY25,BY,5,1/30/20,12/11/19,b,0,1
9BY43,BY,5,1/30/20,12/11/19,b,0,1
6CX16,CX,1,1/30/20,12/11/19,a,0,1
6CX18,CX,1,3/10/20,12/11/19,b,1,0
6CX19,CX,1,1/30/20,12/11/19,a,0,1
8CX21,CX,1,3/3/20,12/11/19,a,0,1
8CX25,CX,1,1/30/20,12/11/19,b,0,1
2CX6,CX,2,3/10/20,12/11/19,b,1,0
2CX8,CX,2,1/30/20,12/11/19,b,0,1
2CX10,CX,2,3/3/20,12/11/19,a,0,1
4CX12,CX,2,1/30/20,12/11/19,b,0,1
0CX49,CX,3,1/30/20,12/11/19,a,0,1
0CX5,CX,3,1/30/20,12/11/19,b,0,1
0CX50,CX,3,2/7/20,12/11/19,b,0,1
0CX46,CX,3,2/7/20,12/11/19,a,0,1
0CX4,CX,3,1/30/20,12/11/19,b,0,1
2CX20,CX,4,3/10/20,12/11/19,a,1,0
2CX18,CX,4,1/30/20,12/11/19,a,0,1
2CX13,CX,4,1/30/20,12/11/19,b,0,1
2CX12,CX,4,1/30/20,12/11/19,b,0,1
2CX11,CX,4,1/30/20,12/11/19,b,0,1
9CX3,CX,5,3/3/20,12/11/19,a,0,1
9CX6,CX,5,1/30/20,12/11/19,b,0,1
9CX25,CX,5,1/30/20,12/11/19,a,0,1
9CX5,CX,5,1/30/20,12/11/19,a,0,1
6DW19,DW,1,1/30/20,12/11/19,a,0,1
8DW21,DW,1,1/30/20,12/11/19,a,0,1
8DW23,DW,1,1/30/20,12/11/19,a,0,1
8DW24,DW,1,1/30/20,12/11/19,b,0,1
8DW25,DW,1,3/10/20,12/11/19,a,1,0
2DW6,DW,2,1/30/20,12/11/19,a,0,1
2DW7,DW,2,1/30/20,12/11/19,a,0,1
4DW11,DW,2,1/30/20,12/11/19,b,0,1
4DW14,DW,2,1/30/20,12/11/19,b,0,1
4DW15,DW,2,3/10/20,12/11/19,b,1,0
0DW5,DW,3,1/30/20,12/11/19,a,0,1
0DW46,DW,3,1/30/20,12/11/19,b,0,1
0DW4,DW,3,1/30/20,12/11/19,a,0,1
0DW48,DW,3,3/10/20,12/11/19,b,1,0
2DW3,DW,4,1/30/20,12/11/19,a,0,1
2DW34,DW,4,1/30/20,12/11/19,a,0,1
2DW40,DW,4,1/30/20,12/11/19,b,0,1
2DW44,DW,4,1/30/20,12/11/19,b,0,1
2DW39,DW,4,3/10/20,12/11/19,a,1,0
9DW31,DW,5,1/30/20,12/11/19,a,0,1
9DW34,DW,5,1/30/20,12/11/19,b,0,1
9DW37,DW,5,1/30/20,12/11/19,b,0,1
9DW32,DW,5,1/30/20,12/11/19,b,0,1
9DW1,DW,5,3/10/20,12/11/19,a,1,0
6EV16,EV,1,2/7/20,12/11/19,a,0,1
6EV18,EV,1,1/30/20,12/11/19,b,0,1
6EV19,EV,1,1/30/20,12/11/19,a,0,1
6EV20,EV,1,3/10/20,12/11/19,a,1,0
8EV24,EV,1,1/30/20,12/11/19,b,0,1
2EV6,EV,2,1/30/20,12/11/19,b,0,1
2EV10,EV,2,1/30/20,12/11/19,b,0,1
4EV11,EV,2,1/30/20,12/11/19,a,0,1
4EV14,EV,2,1/30/20,12/11/19,b,0,1
4EV15,EV,2,1/30/20,12/11/19,b,0,1
0EV47,EV,3,2/7/20,12/11/19,b,0,1
0EV46,EV,3,2/7/20,12/11/19,a,0,1
0EV1,EV,3,1/30/20,12/11/19,b,0,1
0EV3,EV,3,1/30/20,12/11/19,b,0,1
2EV3,EV,4,1/30/20,12/11/19,b,0,1
2EV36,EV,4,1/30/20,12/11/19,b,0,1
2EV34,EV,4,3/3/20,12/11/19,a,0,1
2EV44,EV,4,1/30/20,12/11/19,b,0,1
2EV39,EV,4,1/30/20,12/11/19,a,0,1
3EV30,EV,4,1/30/20,12/11/19,b,0,1
9EV2,EV,5,1/30/20,12/11/19,b,0,1
9EV41,EV,5,1/30/20,12/11/19,b,0,1
6FU16,FU,1,1/30/20,12/12/19,a,0,1
6FU20,FU,1,1/30/20,12/12/19,b,0,1
8FU22,FU,1,1/30/20,12/12/19,b,0,1
8FU24,FU,1,1/30/20,12/12/19,a,0,1
8FU25,FU,1,1/30/20,12/12/19,b,0,1
2FU6,FU,2,1/30/20,12/12/19,a,0,1
2FU7,FU,2,1/30/20,12/12/19,a,0,1
4FU12,FU,2,1/30/20,12/12/19,a,0,1
4FU15,FU,2,1/30/20,12/12/19,b,0,1
1FU1,FU,3,1/30/20,12/12/19,b,0,1
3FU35,FU,3,12/11/19,12/12/19,b,0,1
1FU5,FU,3,1/30/20,12/12/19,a,0,1
FU1,FU,3,3/10/20,12/12/19,a,1,0
1FU2,FU,3,1/30/20,12/12/19,b,0,1
3FU28,FU,3,3/10/20,12/12/19,a,1,0
2FU10,FU,4,1/30/20,12/12/19,a,0,1
2FU4,FU,4,3/10/20,12/12/19,b,1,0
2FU7,FU,4,3/10/20,12/12/19,a,1,0
2FU6,FU,4,1/30/20,12/12/19,a,0,1
2FU5,FU,4,1/30/20,12/12/19,b,0,1
9FU5,FU,5,3/10/20,12/12/19,a,1,0
9FU33,FU,5,3/10/20,12/12/19,a,1,0
9FU36,FU,5,1/30/20,12/12/19,a,0,1
9FU4,FU,5,1/30/20,12/12/19,b,0,1
6GT16,GT,1,3/10/20,12/12/19,b,1,0
6GT17,GT,1,1/30/20,12/12/19,b,0,1
6GT19,GT,1,1/30/20,12/12/19,b,0,1
6GT20,GT,1,3/10/20,12/12/19,a,1,0
8GT21,GT,1,3/10/20,12/12/19,a,1,0
2GT6,GT,2,3/10/20,12/12/19,a,1,0
2GT7,GT,2,1/30/20,12/12/19,a,0,1
2GT10,GT,2,1/30/20,12/12/19,b,0,1
4GT13,GT,2,3/10/20,12/12/19,a,1,0
4GT15,GT,2,3/10/20,12/12/19,a,1,0
0GT1,GT,3,1/30/20,12/12/19,a,0,1
1GT36,GT,3,1/30/20,12/12/19,b,0,1
1GT37,GT,3,1/30/20,12/12/19,a,0,1
1GT43,GT,3,1/30/20,12/12/19,a,0,1
0GT3,GT,3,1/30/20,12/12/19,b,0,1
0GT5,GT,3,1/30/20,12/12/19,b,0,1
2GT41,GT,4,1/30/20,12/12/19,b,0,1
2GT38,GT,4,1/30/20,12/12/19,b,0,1
2GT31,GT,4,1/30/20,12/12/19,b,0,1
2GT44,GT,4,1/30/20,12/12/19,a,0,1
2GT3,GT,4,1/30/20,12/12/19,b,0,1
9GT47,GT,5,12/11/19,12/11/19,b,0,1
9GT30,GT,5,1/30/20,12/12/19,b,0,1
9GT46,GT,5,1/30/20,12/12/19,a,0,1
6HS19,HS,1,3/10/20,12/12/19,a,1,0
8HS21,HS,1,1/30/20,12/12/19,a,0,1
8HS22,HS,1,3/10/20,12/12/19,a,1,0
8HS23,HS,1,1/30/20,12/12/19,b,0,1
8HS24,HS,1,1/30/20,12/12/19,b,0,1
2HS9,HS,2,1/30/20,12/12/19,b,0,1
4HS12,HS,2,3/10/20,12/12/19,a,1,0
4HS13,HS,2,1/30/20,12/12/19,b,0,1
4HS14,HS,2,3/10/20,12/12/19,a,1,0
4HS15,HS,2,3/3/20,12/12/19,b,0,1
0HS1,HS,3,3/10/20,12/12/19,a,1,0
1HS40,HS,3,3/10/20,12/12/19,a,1,0
1HS49,HS,3,2/7/20,12/12/19,a,0,1
1HS37,HS,3,3/10/20,12/12/19,a,1,0
1HS45,HS,3,3/10/20,12/12/19,a,1,0
2HS20,HS,4,1/30/20,12/12/19,a,0,1
2HS27,HS,4,1/30/20,12/12/19,a,0,1
2HS15,HS,4,3/10/20,12/12/19,a,1,0
2HS17,HS,4,1/30/20,12/12/19,b,0,1
2HS11,HS,4,1/30/20,12/12/19,b,0,1
9HS52,HS,5,1/30/20,12/12/19,a,0,1
9HS46,HS,5,3/10/20,12/12/19,a,1,0
9HS13,HS,5,3/10/20,12/12/19,a,1,0
9HS131,HS,5,3/10/20,12/12/19,b,1,0
9HS47,HS,5,3/10/20,12/12/19,a,1,0
6IR16,IR,1,1/30/20,12/12/19,b,0,1
6IR18,IR,1,1/30/20,12/12/19,b,0,1
6IR19,IR,1,1/30/20,12/12/19,b,0,1
6IR20,IR,1,1/30/20,12/12/19,a,0,1
8IR24,IR,1,3/10/20,12/12/19,a,1,0
2IR7,IR,2,2/7/20,12/12/19,b,0,1
2IR9,IR,2,3/10/20,12/12/19,b,1,0
2IR10,IR,2,1/30/20,12/12/19,b,0,1
4IR12,IR,2,3/10/20,12/12/19,a,1,0
4IR15,IR,2,3/10/20,12/12/19,a,1,0
0IR1,IR,3,1/30/20,12/12/19,b,0,1
0IR48,IR,3,3/10/20,12/12/19,b,1,0
0IR50,IR,3,3/3/20,12/12/19,a,0,1
0IR53,IR,3,1/30/20,12/12/19,a,0,1
0IR54,IR,3,3/10/20,12/12/19,b,1,0
2IR51,IR,4,1/30/20,12/12/19,b,0,1
2IR6,IR,4,1/30/20,12/12/19,b,0,1
2IR52,IR,4,3/10/20,12/12/19,b,1,0
2IR50,IR,4,1/30/20,12/12/19,a,0,1
2IR7,IR,4,1/30/20,12/12/19,a,0,1
9IR2,IR,5,3/3/20,12/12/19,b,0,1
9IR42,IR,5,3/10/20,12/12/19,a,1,0
9IR8,IR,5,1/30/20,12/12/19,b,0,1
9IR1,IR,5,1/30/20,12/12/19,b,0,1
6JQ16,JQ,1,1/30/20,12/11/19,b,0,1
6JQ17,JQ,1,3/10/20,12/11/19,a,1,0
6JQ18,JQ,1,3/10/20,12/11/19,a,1,0
8JQ21,JQ,1,1/30/20,12/11/19,a,0,1
8JQ23,JQ,1,3/10/20,12/11/19,a,1,0
2JQ6,JQ,2,1/30/20,12/11/19,a,0,1
2JQ8,JQ,2,3/3/20,12/11/19,a,0,1
4JQ12,JQ,2,1/30/20,12/11/19,b,0,1
4JQ14,JQ,2,1/30/20,12/11/19,a,0,1
4JQ15,JQ,2,3/10/20,12/11/19,b,1,0
0J145,JQ,3,1/30/20,12/11/19,a,0,1
0JQ4,JQ,3,1/30/20,12/11/19,a,0,1
0J147,JQ,3,1/30/20,12/11/19,a,0,1
0J144,JQ,3,3/10/20,12/11/19,a,1,0
0JQ49,JQ,3,1/30/20,12/11/19,a,0,1
2JQ41,JQ,4,1/30/20,12/11/19,a,0,1
2JQ8,JQ,4,1/30/20,12/11/19,a,0,1
2JQ30,JQ,4,3/10/20,12/11/19,a,1,0
2JQ32,JQ,4,1/30/20,12/11/19,a,0,1
2JQ31,JQ,4,1/30/20,12/11/19,b,0,1
9JQ5,JQ,5,1/30/20,12/11/19,b,0,1
9JQ4,JQ,5,1/30/20,12/11/19,a,0,1
9JQ53,JQ,5,1/30/20,12/11/19,a,0,1
9JQ42,JQ,5,1/30/20,12/11/19,a,0,1
9JQ431,JQ,5,1/30/20,12/11/19,a,0,1
JQ7,JQ,5,1/30/20,12/11/19,b,0,1
3JQ1,JQ,5,1/30/20,12/11/19,b,0,1