genotype,morphology,acclimation,known,location,count,alive,percent
AZ,g,1,known,field,0,0,0
AZ,g,2,known,field,0,0,0
AZ,g,3,known,field,2,1,50
AZ,g,4,known,field,4,0,0
AZ,g,5,known,field,2,0,0
BY,t,1,known,field,3,1,33.33333333
BY,t,2,known,field,3,1,33.33333333
BY,t,3,known,field,5,2,40
BY,t,4,known,field,4,1,25
BY,t,5,known,field,3,0,0
CX,t,1,known,field,3,0,0
CX,t,2,known,field,4,1,25
CX,t,3,known,field,3,0,0
CX,t,4,known,field,4,1,25
CX,t,5,known,field,2,0,0
DW,t,1,known,field,1,1,100
DW,t,2,known,field,3,1,33.33333333
DW,t,3,known,field,2,1,50
DW,t,4,known,field,2,1,50
DW,t,5,known,field,3,1,33.33333333
EV,g,1,known,field,3,1,33.33333333
EV,g,2,known,field,4,0,0
EV,g,3,known,field,2,0,0
EV,g,4,known,field,5,0,0
EV,g,5,known,field,2,0,0
FU,t,1,known,field,3,0,0
FU,t,2,known,field,1,0,0
FU,t,3,known,field,5,2,40
FU,t,4,known,field,3,2,66.66666667
FU,t,5,known,field,3,2,66.66666667
GT,t,1,known,field,5,3,60
GT,t,2,known,field,5,3,60
GT,t,3,known,field,5,0,0
GT,t,4,known,field,4,0,0
GT,t,5,known,field,2,0,0
HS,t,1,known,field,5,2,40
HS,t,2,known,field,5,2,20
HS,t,3,known,field,4,4,100
HS,t,4,known,field,3,1,33.33333333
HS,t,5,known,field,4,4,100
IR,t,1,known,field,5,1,20
IR,t,2,known,field,5,3,60
IR,t,3,known,field,4,2,50
IR,t,4,known,field,3,1,33.33333333
IR,t,5,known,field,1,5,20
JQ,t,1,known,field,5,3,60
JQ,t,2,known,field,4,1,25
JQ,t,3,known,field,1,1,100
JQ,t,4,known,field,2,1,50
JQ,t,5,known,field,3,0,0