genotype,acclimation,date planted,date of mortality,censored
AZ,3,12/12/19,3/10/20,0
AZ,3,12/12/19,1/30/20,1
AZ,4,12/12/19,12/13/19,1
AZ,4,12/12/19,1/30/20,1
AZ,4,12/12/19,1/30/20,1
AZ,4,12/12/19,1/30/20,1
AZ,5,12/12/19,1/30/20,1
AZ,5,12/12/19,1/30/20,1
BY,1,12/11/19,1/30/20,1
BY,1,12/11/19,1/30/20,1
BY,1,12/11/19,3/10/20,0
BY,2,12/11/19,1/30/20,1
BY,2,12/11/19,3/10/20,0
BY,2,12/11/19,1/30/20,1
BY,3,12/11/19,1/30/20,1
BY,3,12/11/19,3/10/20,0
BY,3,12/11/19,3/10/20,0
BY,3,12/11/19,1/30/20,1
BY,3,12/11/19,1/30/20,1
BY,4,12/11/19,1/30/20,1
BY,4,12/11/19,1/30/20,1
BY,4,12/11/19,3/10/20,0
BY,4,12/11/19,1/30/20,1
BY,5,12/11/19,1/30/20,1
BY,5,12/11/19,1/30/20,1
BY,5,12/11/19,1/30/20,1
CX,1,12/11/19,3/10/20,0
CX,1,12/11/19,3/3/20,1
CX,1,12/11/19,1/30/20,1
CX,2,12/11/19,3/10/20,0
CX,2,12/11/19,1/30/20,1
CX,2,12/11/19,3/3/20,1
CX,2,12/11/19,1/30/20,1
CX,3,12/11/19,1/30/20,1
CX,3,12/11/19,2/7/20,1
CX,3,12/11/19,1/30/20,1
CX,4,12/11/19,3/10/20,0
CX,4,12/11/19,1/30/20,1
CX,4,12/11/19,1/30/20,1
CX,4,12/11/19,1/30/20,1
CX,5,12/11/19,3/3/20,1
CX,5,12/11/19,1/30/20,1
DW,1,12/11/19,3/10/20,0
DW,2,12/11/19,1/30/20,1
DW,2,12/11/19,1/30/20,1
DW,2,12/11/19,3/10/20,0
DW,3,12/11/19,1/30/20,1
DW,3,12/11/19,3/10/20,0
DW,4,12/11/19,1/30/20,1
DW,4,12/11/19,3/10/20,0
DW,5,12/11/19,1/30/20,1
DW,5,12/11/19,1/30/20,1
DW,5,12/11/19,3/10/20,0
EV,1,12/11/19,1/30/20,1
EV,1,12/11/19,3/10/20,0
EV,1,12/11/19,1/30/20,1
EV,2,12/11/19,1/30/20,1
EV,2,12/11/19,1/30/20,1
EV,2,12/11/19,1/30/20,1
EV,2,12/11/19,1/30/20,1
EV,3,12/11/19,1/30/20,1
EV,3,12/11/19,1/30/20,1
EV,4,12/11/19,1/30/20,1
EV,4,12/11/19,1/30/20,1
EV,4,12/11/19,3/3/20,1
EV,4,12/11/19,1/30/20,1
EV,4,12/11/19,1/30/20,1
EV,5,12/11/19,1/30/20,1
EV,5,12/11/19,1/30/20,1
FU,1,12/12/19,1/30/20,1
FU,1,12/12/19,1/30/20,1
FU,1,12/12/19,1/30/20,1
FU,2,12/12/19,1/30/20,1
FU,3,12/12/19,1/30/20,1
FU,3,12/12/19,12/11/19,1
FU,3,12/12/19,3/10/20,0
FU,3,12/12/19,1/30/20,1
FU,3,12/12/19,3/10/20,0
FU,4,12/12/19,3/10/20,0
FU,4,12/12/19,3/10/20,0
FU,4,12/12/19,1/30/20,1
FU,5,12/12/19,3/10/20,0
FU,5,12/12/19,3/10/20,0
FU,5,12/12/19,1/30/20,1
GT,1,12/12/19,3/10/20,0
GT,1,12/12/19,1/30/20,1
GT,1,12/12/19,1/30/20,1
GT,1,12/12/19,3/10/20,0
GT,1,12/12/19,3/10/20,0
GT,2,12/12/19,3/10/20,0
GT,2,12/12/19,1/30/20,1
GT,2,12/12/19,1/30/20,1
GT,2,12/12/19,3/10/20,0
GT,2,12/12/19,3/10/20,0
GT,3,12/12/19,1/30/20,1
GT,3,12/12/19,1/30/20,1
GT,3,12/12/19,1/30/20,1
GT,3,12/12/19,1/30/20,1
GT,3,12/12/19,1/30/20,1
GT,4,12/12/19,1/30/20,1
GT,4,12/12/19,1/30/20,1
GT,4,12/12/19,1/30/20,1
GT,4,12/12/19,1/30/20,1
GT,5,12/12/19,12/11/19,1
GT,5,12/12/19,1/30/20,1
HS,1,12/12/19,3/10/20,0
HS,1,12/12/19,1/30/20,1
HS,1,12/12/19,3/10/20,0
HS,1,12/12/19,1/30/20,1
HS,1,12/12/19,1/30/20,1
HS,2,12/12/19,1/30/20,1
HS,2,12/12/19,3/10/20,0
HS,2,12/12/19,1/30/20,1
HS,2,12/12/19,3/10/20,0
HS,2,12/12/19,3/3/20,1
HS,3,12/12/19,3/10/20,0
HS,3,12/12/19,3/10/20,0
HS,3,12/12/19,3/10/20,0
HS,3,12/12/19,3/10/20,0
HS,4,12/12/19,3/10/20,0
HS,4,12/12/19,1/30/20,1
HS,4,12/12/19,1/30/20,1
HS,5,12/12/19,3/10/20,0
HS,5,12/12/19,3/10/20,0
HS,5,12/12/19,3/10/20,0
HS,5,12/12/19,3/10/20,0
IR,1,12/12/19,1/30/20,1
IR,1,12/12/19,1/30/20,1
IR,1,12/12/19,1/30/20,1
IR,1,12/12/19,1/30/20,1
IR,1,12/12/19,3/10/20,0
IR,2,12/12/19,2/7/20,1
IR,2,12/12/19,3/10/20,0
IR,2,12/12/19,1/30/20,1
IR,2,12/12/19,3/10/20,0
IR,2,12/12/19,3/10/20,0
IR,3,12/12/19,1/30/20,1
IR,3,12/12/19,3/10/20,0
IR,3,12/12/19,3/3/20,1
IR,3,12/12/19,3/10/20,0
IR,4,12/12/19,1/30/20,1
IR,4,12/12/19,1/30/20,1
IR,4,12/12/19,3/10/20,0
IR,5,12/12/19,3/3/20,1
IR,5,12/12/19,3/10/20,0
IR,5,12/12/19,1/30/20,1
IR,5,12/12/19,1/30/20,1
IR,5,12/12/19,12/11/19,1
JQ,1,12/11/19,1/30/20,1
JQ,1,12/11/19,3/10/20,0
JQ,1,12/11/19,3/10/20,0
JQ,1,12/11/19,1/30/20,1
JQ,1,12/11/19,3/10/20,0
JQ,2,12/11/19,1/30/20,1
JQ,2,12/11/19,3/3/20,1
JQ,2,12/11/19,1/30/20,1
JQ,2,12/11/19,3/10/20,0
JQ,3,12/11/19,3/10/20,0
JQ,4,12/11/19,3/10/20,0
JQ,4,12/11/19,1/30/20,1
JQ,5,12/11/19,1/30/20,1
JQ,5,12/11/19,1/30/20,1
JQ,5,12/11/19,1/30/20,1